Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
1.pdb, 1, 1, 0.506891916345032, 0.6794574808690429, 1.0175823126324894, -, 16.472029391658733, 1.3495124417646782
2.pdb, 1, 1, 0.5606546387229537, 0.5786501802791825, 1.1391447787099478, -, 15.610422309113083, 1.2311425094723383
3.pdb, 1, 1, 0.4853205622600236, 0.7229456532645121, 1.0000214898101147, -, 15.084746035495634, 1.2900751754859832
4.pdb, 1, 1, 0.6505515970820588, 0.42993466506362843, 1.4133005877814198, -, 13.80949184799388, 1.19703438202048
5.pdb, 1, 1, 0.498668575657042, 0.6958135809338964, 1.0066696759120755, -, 14.177971134879584, 1.2036280344375923
6.pdb, 1, 1, 0.6709463680193162, 0.39906607364109353, 1.6901136713650466, -, 14.242397212673868, 1.2855947383860726
7.pdb, 1, 1, 0.6249304479784616, 0.47011491867263544, 1.4180373311214962, -, 13.120086271728182, 1.2490067264260802
8.pdb, 1, 1, 0.6084051373665729, 0.4969142745718794, 1.2117374165859276, -, 13.200762807339009, 1.1897602518146309
9.pdb, 1, 1, 0.6076096636307939, 0.4982226037938525, 1.2283487797543715, -, 14.989822124484517, 1.4680742812007912
10.pdb, 1, 2, 0.4121034013905126, 0.886480986872562, 0.909521375716815, -, 16.503421593145944, 1.3460498754201946
2.pdb, 2, 2, 0.3903684537375222, 0.9406642326837067, 0.9725320705417635, -, 19.387058612111854, 1.504079625728088
3.pdb, 2, 2, 0.45676160854758585, 0.7835936685076672, 1.1328010750407247, -, 17.552554453704897, 1.2917084914603014
4.pdb, 2, 2, 0.4524942575281363, 0.7929802064682371, 1.0374708092975855, -, 18.326784617829517, 1.4272036722164967
5.pdb, 2, 2, 0.3174581948181445, 1.1474091391827401, 0.982762019550355, -, 18.63151812533629, 1.2506040398568798
6.pdb, 2, 2, 0.4844790090714678, 0.7246811735197591, 1.2178014143604348, -, 18.562401567913255, 1.521540532709694
7.pdb, 2, 2, 0.4220768643314404, 0.8625678385666425, 0.9590309236704264, -, 17.69499497708463, 1.4349263785240125
8.pdb, 2, 2, 0.38585634977900557, 0.9522901296142041, 1.0219813916540164, -, 19.742970757534632, 1.4540299739347213
9.pdb, 2, 2, 0.57955690320734, 0.5454914273951579, 1.2090388916174095, -, 16.841965403213436, 1.202581381160437
10.pdb, 2, 1, 0.4453196564874614, 0.8089629255055142, 0.9218711936665642, -, 17.49318498135351, 1.3387998945580748
