Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
1.pdb, 1, 1, 0.506891916345032, 0.6794574808690429, 1.0175823126324894, 0.03232396451599806, 16.472029391658733, 1.3495124417646782
2.pdb, 1, 1, 0.5606546387229536, 0.5786501802791825, 1.1391447787099478, 0.015036082097929615, 15.610422309113083, 1.2311425094723383
3.pdb, 1, 1, 0.4853205622600236, 0.7229456532645121, 1.0000214898101147, 0.02982833507047089, 15.084746035495634, 1.2900751754859832
4.pdb, 1, 1, 0.6505515970820588, 0.42993466506362843, 1.4133005877814198, 0.02264628050023587, 13.80949184799388, 1.19703438202048
5.pdb, 1, 1, 0.498668575657042, 0.6958135809338964, 1.0066696759120755, 0.06787678494568938, 14.177971134879584, 1.2036280344375923
6.pdb, 1, 1, 0.6709463680193162, 0.39906607364109353, 1.6901136713650466, 0.005622665234561897, 14.242397212673868, 1.2855947383860726
7.pdb, 1, 1, 0.6249304479784616, 0.47011491867263544, 1.4180373311214962, 9.247058889849669E-4, 13.120086271728182, 1.2490067264260802
8.pdb, 1, 1, 0.6084051373665729, 0.4969142745718794, 1.2117374165859276, 3.9647402998177483E-4, 13.200762807339009, 1.1897602518146309
9.pdb, 1, 1, 0.6076096636307939, 0.4982226037938525, 1.2283487797543715, 0.07610394991144132, 14.989822124484517, 1.4680742812007912
10.pdb, 1, 2, 0.4121034013905126, 0.886480986872562, 0.909521375716815, 0.07173736817727727, 16.503421593145944, 1.3460498754201946
11.pdb, 1, 1, 0.644417499033205, 0.43940847250301207, 1.4042753343243601, 0.14845423049748785, 13.044395859390738, 1.1972814474828506
12.pdb, 1, 1, 0.6031080131925758, 0.5056589719403147, 1.363448459901966, 6.462111541329918E-4, 12.670254904101533, 1.2359406325418827
13.pdb, 1, 1, 0.5757609086243866, 0.5520627936533858, 1.2518445609049886, 5.308652448006157E-4, 14.110138479516575, 1.262105498974711
14.pdb, 1, 1, 0.6130878801983224, 0.48924699247555936, 1.427501130112874, 0.09599850335262694, 12.894821788086375, 1.3268027939593638
15.pdb, 1, 1, 0.6041102738487202, 0.5039985251144516, 1.2404768469167682, 3.88144035084359E-4, 14.635058155836601, 1.3525155251438343
16.pdb, 1, 1, 0.6162110897597977, 0.4841656959678856, 1.4007569558763249, 3.62066608692313E-4, 13.280655665528823, 1.310434491107771
17.pdb, 1, 1, 0.6442230503722873, 0.4397102613338589, 1.6265647492839628, 0.0036770957678529115, 14.241223095428303, 1.2530696077944503
18.pdb, 1, 1, 0.6367965657475323, 0.4513050374509089, 1.4934625203731902, 0.07568785917079301, 14.250400846423343, 1.3201405625258749
19.pdb, 1, 1, 0.7400975637155249, 0.30097325861561, 1.6476409960992584, 4.744309221376142E-4, 11.29220288413653, 1.2009790843420145
20.pdb, 1, 1, 0.5916826423052974, 0.5247848650258773, 1.2453886781205956, 8.275010217109191E-4, 12.638852920089327, 1.2392305480733217
21.pdb, 1, 1, 0.5786433478202674, 0.5470689707875401, 1.3866523635453831, 0.01664999500493236, 15.445792496965565, 1.4423864132003126
22.pdb, 1, 1, 0.577114238966571, 0.5497150442606891, 1.42920370097241, 7.946185857186094E-4, 16.038843510750635, 1.20581100413595
23.pdb, 1, 1, 0.5847455252899629, 0.5365785258943483, 1.3346101572809956, 0.0011304021465843306, 13.705543563717683, 1.3024749216102873
24.pdb, 1, 1, 0.7027027741557917, 0.3528212729395055, 1.7441511520258521, 5.396530464318872E-4, 14.065993249052765, 1.245671174339331
25.pdb, 1, 1, 0.5833047729298626, 0.5390454626229649, 1.1277932736784775, 0.04399022782246087, 14.614463358272227, 1.347254898351282
26.pdb, 1, 1, 0.6392532825725352, 0.4474545297868172, 1.420253381047594, 5.949051272367001E-4, 14.609458289616796, 1.2290907215732634
