Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
1AKD.pdb, 1, 1, 0.4196578121127556, 0.8683156328449549, 0.671116913366864, -, 14.101320893703722, 1.1227580115533728
1AKD.pdb, 2, 2, 0.36304053609496967, 1.0132407812687692, 0.8397287718676849, -, 14.136466443317914, 1.1502426946204538
1AKD.pdb, 3, 3, 0.3563631650722655, 1.0318049414981696, 0.7900540237617162, -, 17.363485096589965, 1.2286042109500823
1AKD.pdb, 4, 4, 0.34323997331662914, 1.069325445782909, 0.827839236698908, -, 19.10872312961985, 1.3387530555505955
1AKD.pdb, 5, 5, 0.3100796171410046, 1.1709261849908803, 0.6473382042476552, -, 19.524851427368272, 1.241292742354813
1AKD.pdb, 6, 6, 0.30071174650845517, 1.2016031258714945, 0.7551649641595084, -, 22.92694036059259, 1.4618842445963534
1AKD.pdb, 7, 7, 0.2673999549605692, 1.3190097827489788, 0.9611982741803882, -, 24.37620879260579, 1.2855681490578517
1AKD.pdb, 8, 8, 0.2620783546203639, 1.3391117564950925, 0.7894449537033967, -, 25.91606666852322, 1.2661353171659193
1AKD.pdb, 9, 9, 0.25659177349022727, 1.3602688869784854, 0.9268391330427956, -, 24.572986268940877, 1.5873105624549966
1AKD.pdb, 10, 10, 0.2532166581693754, 1.3735098003178652, 0.8111763241632097, -, 22.627122926159416, 1.343511129180704
1AKD.pdb, 11, 11, 0.25296156857215996, 1.3745177046698656, 0.6136071136260797, -, 22.765974914252894, 1.1541114442879794
1AKD.pdb, 12, 12, 0.2482239835673225, 1.39342378087468, 0.6000793333902465, -, 19.682620544468527, 1.3139637735670866
1AKD.pdb, 13, 13, 0.214424497127354, 1.5397975973230271, 0.7728185035055106, -, 23.583210418448957, 1.8487034339678698
1AKD.pdb, 14, 14, 0.201109036345329, 1.6039080486266393, 0.8388162929733194, -, 24.575555855049345, 1.505084255171908
1AKD.pdb, 15, 15, 0.19496018726793418, 1.6349599091202323, 0.6216515910450804, -, 24.183166759048177, 1.231092989106489
1AKD.pdb, 16, 16, 0.18957807085725054, 1.6629543558859519, 0.6188002522583558, -, 26.844654277962483, 1.3104440025305915
1AKD.pdb, 17, 17, 0.18852554455336393, 1.6685217664034253, 0.741878362530664, -, 21.3996653867588, 1.3609892874477252
1AKD.pdb, 18, 18, 0.179209700973208, 1.7191986450114136, 0.741878362530664, -, 26.395377273176027, 1.4064291110287561
1AKD.pdb, 19, 19, 0.17706412673913857, 1.731243314061132, 0.8262150223954969, -, 29.821906796010204, 1.391091985931489
1AKD.pdb, 20, 20, 0.1751074340570582, 1.7423555845261263, 0.80415706585661, -, 26.395776126143733, 1.5823900223851082
1AKD.pdb, 21, 21, 0.17074208792941908, 1.7676011187678293, 0.6000793333902465, -, 26.56172926732201, 1.284922968545615
1AKD.pdb, 22, 22, 0.13946478211112934, 1.9699431675783343, 0.6056970047950934, -, 21.903976635397907, 1.251424355364964
1AKD.pdb, 23, 23, 0.128719463217827, 2.050119946460317, 0.6342574138566808, -, 17.312771746213517, 1.2141695756376367
1AKD.pdb, 24, 24, 0.12712863427365825, 2.0625558368320123, 0.7686731776198354, -, 34.244409297509684, 1.550948406993002
1AKD.pdb, 25, 25, 0.12259506436730569, 2.098868514305853, 0.6081751368314383, -, 23.062675848551233, 1.5087881383180002
1AKD.pdb, 26, 26, 0.12153321874134325, 2.107567648291401, 0.6549425271396307, -, 31.911841433306925, 1.48715060532498
1AKD.pdb, 27, 27, 0.11705005372308612, 2.14515362606979, 0.7551649641595084, -, 35.53807553578183, 1.7463383525768907
1AKD.pdb, 28, 28, 0.113005233031098, 2.1803211513323553, 0.6549425271396307, -, 27.697230491495397, 1.234776952012898
1AKD.pdb, 29, 29, 0.10832839940791246, 2.2225879302846274, 0.6464128939566272, -, 30.35405902546388, 1.5006392376879787
1AKD.pdb, 30, 30, 0.10404842444271366, 2.262898868566475, 0.8785508693751143, -, 37.326375742334726, 1.4962254119601128
1AKD.pdb, 31, 31, 0.09878562893370146, 2.3148031409447096, 0.6038704398959469, -, 29.342670214863034, 1.6564849947865714
1AKD.pdb, 32, 32, 0.0947486345349201, 2.356527846364393, 0.7551649641595084, -, 42.262061153123845, 1.6427879404358194
1AKD.pdb, 33, 33, 0.09004947352941892, 2.4073960538023718, 0.6136071136260797, -, 33.27632433118388, 1.5358507184463288
1AKD.pdb, 34, 34, 0.08486369165837204, 2.4667089372273385, 0.6136071136260797, -, 32.47580869700105, 1.4828120147676318
1AKD.pdb, 35, 35, 0.08312964783585694, 2.487353867754418, 0.6989823125086425, -, 34.155561162552026, 1.395594695132146
1AKD.pdb, 36, 36, 0.08261668615662539, 2.4935436072753756, 0.6197177301146808, -, 32.57673494484553, 1.645758285515687
1AKD.pdb, 37, 37, 0.0815045742443866, 2.507096134612313, 0.615600307740173, -, 33.62165171840888, 1.3052532334052536
1AKD.pdb, 38, 38, 0.0738989115665201, 2.6050571796003146, 0.6445757110970125, -, 27.883730468453216, 1.599224436627159
1AKD.pdb, 39, 39, 0.07354826115919878, 2.6098134738294023, 0.6907192140822551, -, 32.42801935461242, 1.4403884381398198
1AKD.pdb, 40, 40, 0.07161409990118534, 2.636463298408707, 0.741878362530664, -, 33.18994808021732, 1.2600117539272069
1AKD.pdb, 41, 41, 0.060637646193382105, 2.802839354473579, 0.6038704398959469, -, 36.39869173418886, 1.3758728890177307
1AKD.pdb, 42, 42, 0.05781919440925009, 2.85043447522621, 0.6439527584484455, -, 33.10888766392814, 1.3214114174668699
1AKD.pdb, 43, 43, 0.05539026577730414, 2.8933514086582566, 0.7034088695261755, -, 40.72811660486211, 1.3868012040233986
1AKD.pdb, 44, 44, 0.0527761434642812, 2.941696018703105, 0.6989823125086425, -, 44.61533788009184, 1.4363032087493721
1AKD.pdb, 45, 45, 0.05019534271895193, 2.991833031111146, 0.6845506419467093, -, 42.85461110026457, 1.7190538022696304
1AKD.pdb, 46, 46, 0.04484583851240789, 3.104524481573644, 0.6234120040091344, -, 35.04050600419329, 1.4404797966518232
1AKD.pdb, 47, 47, 0.02222553826542973, 3.806513278958469, 0.6989823125086425, -, 54.94627064149551, 1.5445832567739242
