            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
   1       1          1    2.350    0.000     2.35    9.269   0.000   1.097   0.000     0.85699         0.85699  0.00000             -       -             -            -             -
   2       1          1    3.375    0.000     3.38   38.688   0.000   1.399   0.000     0.85401         0.85401  0.00000             -       -             -            -             -
   3       1          1    3.375    0.000     3.38   39.242   0.000   1.282   0.000     0.85278         0.85278  0.00000             -       -             -            -             -
   4       1          1    3.375    0.000     3.38   42.092   0.000   1.495   0.000     0.83974         0.83974  0.00000             -       -             -            -             -
   5       1          1    3.375    0.000     3.38   29.179   0.000   1.248   0.000     0.83579         0.83579  0.00000             -       -             -            -             -
   6       1          1    3.375    0.000     3.38   34.644   0.000   1.453   0.000     0.83011         0.83011  0.00000             -       -             -            -             -
   7       1          1    3.375    0.000     3.38   43.693   0.000   1.264   0.000     0.82887         0.82887  0.00000             -       -             -            -             -
   8       1          1    3.375    0.000     3.38   50.056   0.000   1.427   0.000     0.82492         0.82492  0.00000             -       -             -            -             -
   9       1          1    3.375    0.000     3.38   45.070   0.000   1.495   0.000     0.82260         0.82260  0.00000             -       -             -            -             -
  10       1          1    2.763    0.000     2.76   39.618   0.000   1.325   0.000     0.79229         0.79229  0.00000             -       -             -            -             -
  11       1          1    3.375    0.000     3.38   51.875   0.000   1.419   0.000     0.78976         0.78976  0.00000             -       -             -            -             -
  12       1          1    2.723    0.000     2.72   54.999   0.000   1.438   0.000     0.77302         0.77302  0.00000             -       -             -            -             -
  13       1          1    2.399    0.000     2.40   48.421   0.000   2.120   0.000     0.76951         0.76951  0.00000             -       -             -            -             -
  14       1          1    2.082    0.000     2.08   29.654   0.000   1.420   0.000     0.76109         0.76109  0.00000             -       -             -            -             -
  15       1          1    2.368    0.000     2.37   49.956   0.000   1.424   0.000     0.73307         0.73307  0.00000             -       -             -            -             -
  16       1          1    3.375    0.000     3.38   69.107   0.000   1.448   0.000     0.70559         0.70559  0.00000             -       -             -            -             -
  17       1          1    1.576    0.000     1.58   17.788   0.000   1.216   0.000     0.70133         0.70133  0.00000             -       -             -            -             -
  18       1          1    1.637    0.000     1.64   49.959   0.000   1.349   0.000     0.69788         0.69788  0.00000             -       -             -            -             -
  19       1          1    2.220    0.000     2.22   59.661   0.000   1.355   0.000     0.68756         0.68756  0.00000             -       -             -            -             -
  20       1          1    1.510    0.000     1.51   22.582   0.000   1.555   0.000     0.68074         0.68074  0.00000             -       -             -            -             -
  21       1          1    1.502    0.000     1.50   21.764   0.000   1.536   0.000     0.67853         0.67853  0.00000             -       -             -            -             -
  22       1          1    1.725    0.000     1.72   52.292   0.000   1.350   0.000     0.66788         0.66788  0.00000             -       -             -            -             -
  23       1          1    1.389    0.000     1.39   31.590   0.000   1.454   0.000     0.63331         0.63331  0.00000             -       -             -            -             -
  24       1          1    2.133    0.000     2.13   82.042   0.000   1.462   0.000     0.61891         0.61891  0.00000             -       -             -            -             -
  25       1          1    1.363    0.000     1.36   13.760   0.000   1.211   0.000     0.60633         0.60633  0.00000             -       -             -            -             -
  26       1          1    1.068    0.000     1.07   20.136   0.000   1.388   0.000     0.60408         0.60408  0.00000             -       -             -            -             -
  27       1          1    2.337    0.000     2.34   94.642   0.000   1.539   0.000     0.59299         0.59299  0.00000             -       -             -            -             -
  28       1          1    2.671    0.000     2.67  136.680   0.000   1.072   0.000     0.58627         0.58627  0.00000             -       -             -            -             -
  29       1          1    1.094    0.000     1.09   15.164   0.000   1.271   0.000     0.58105         0.58105  0.00000             -       -             -            -             -
  30       1          1    1.032    0.000     1.03   18.546   0.000   1.262   0.000     0.57517         0.57517  0.00000             -       -             -            -             -
  31       1          1    2.671    0.000     2.67  146.572   0.000   1.088   0.000     0.57286         0.57286  0.00000             -       -             -            -             -
  32       1          1    1.159    0.000     1.16   58.138   0.000   1.648   0.000     0.56706         0.56706  0.00000             -       -             -            -             -
  33       1          1    0.984    0.000     0.98   17.730   0.000   1.519   0.000     0.56075         0.56075  0.00000             -       -             -            -             -
  34       1          1    2.671    0.000     2.67  158.849   0.000   1.146   0.000     0.55112         0.55112  0.00000             -       -             -            -             -
  35       1          1    2.671    0.000     2.67  113.649   0.000   1.353   0.000     0.53998         0.53998  0.00000             -       -             -            -             -
  36       1          1    1.248    0.000     1.25   69.846   0.000   1.547   0.000     0.52980         0.52980  0.00000             -       -             -            -             -
  37       1          1    0.889    0.000     0.89   52.068   0.000   1.213   0.000     0.52319         0.52319  0.00000             -       -             -            -             -
  38       1          1    1.639    0.000     1.64   99.125   0.000   1.482   0.000     0.50673         0.50673  0.00000             -       -             -            -             -
  39       1          1    2.337    0.000     2.34  117.311   0.000   1.562   0.000     0.49619         0.49619  0.00000             -       -             -            -             -
  40       1          1    2.586    0.000     2.59  104.780   0.000   1.370   0.000     0.48772         0.48772  0.00000             -       -             -            -             -
  41       1          1    2.380    0.000     2.38  123.530   0.000   1.349   0.000     0.47436         0.47436  0.00000             -       -             -            -             -
  42       1          1    2.596    0.000     2.60  132.049   0.000   1.507   0.000     0.46821         0.46821  0.00000             -       -             -            -             -
  43       1          1    2.381    0.000     2.38  132.885   0.000   1.340   0.000     0.46118         0.46118  0.00000             -       -             -            -             -
  44       1          1    1.639    0.000     1.64  109.964   0.000   1.442   0.000     0.44878         0.44878  0.00000             -       -             -            -             -
  45       1          1    2.204    0.000     2.20  133.331   0.000   1.404   0.000     0.44527         0.44527  0.00000             -       -             -            -             -
  46       1          1    2.411    0.000     2.41  178.300   0.000   1.219   0.000     0.44188         0.44188  0.00000             -       -             -            -             -
  47       1          1    2.361    0.000     2.36  172.318   0.000   1.395   0.000     0.44001         0.44001  0.00000             -       -             -            -             -
  48       1          1    2.539    0.000     2.54  146.913   0.000   1.319   0.000     0.43038         0.43038  0.00000             -       -             -            -             -
  49       1          1    1.432    0.000     1.43   68.574   0.000   1.328   0.000     0.42744         0.42744  0.00000             -       -             -            -             -
  50       1          1    2.073    0.000     2.07  111.250   0.000   1.401   0.000     0.42574         0.42574  0.00000             -       -             -            -             -
  51       1          1    2.539    0.000     2.54  149.889   0.000   1.279   0.000     0.42410         0.42410  0.00000             -       -             -            -             -
  52       1          1    2.337    0.000     2.34  141.884   0.000   1.701   0.000     0.42128         0.42128  0.00000             -       -             -            -             -
  53       1          1    1.012    0.000     1.01   61.571   0.000   1.252   0.000     0.41762         0.41762  0.00000             -       -             -            -             -
  54       1          1    0.758    0.000     0.76   17.662   0.000   1.290   0.000     0.41409         0.41409  0.00000             -       -             -            -             -
  55       1          1    2.204    0.000     2.20  143.610   0.000   1.424   0.000     0.41395         0.41395  0.00000             -       -             -            -             -
