Receptor         : results/8rnj_badge/receptor/8RNJ_clean_h.pdbqt
Ligand (SDF)     : results/8rnj_badge/ligand/BADGE.sdf
Mode             : blind
Box centre       : [2.551, 1.785, 21.94]
Box size         : [52.258, 55.81, 56.064]
Exhaustiveness   : 32

Pose   Affinity (kcal/mol)   RMSD lb   RMSD ub
------------------------------------------------
   1                -9.022   -13.241     0.277
   2                -8.824   -11.749    -0.925
   3                -8.619   -11.229    -1.143
   4                -8.581   -11.828    -0.488
   5                -8.527   -11.626    -0.611
   6                -8.485   -11.132    -1.043
   7                -7.967   -10.264    -1.151
   8                -7.735    -9.928    -1.147
   9                -7.632    -9.736    -1.188
  10                -7.419    -9.517    -1.095
