protein_id,ligand,best_affinity_mean,best_affinity_sd,best_affinity_kcal_mol,all_affinities_kcal_mol,t1_cu_x,t1_cu_y,t1_cu_z,reactive_atom_dist_to_T1,productive_pose,ranking_score,poses_pdbqt
A0AAV6MEL1,NNBT,-6.854,0.002,-6.852,-6.852;-6.631;-6.087;-5.751;-5.737;-5.606;-5.519;-5.338;-5.211,29.9,5.3,-5.39,3.32,True,-6.852,results/A0AAV6MEL1_NNBT_poses.pdbqt
A0A517I632,NNBT,-6.489,0.003,-6.49,-6.490;-6.135;-6.134;-6.126;-4.986;-4.955;-4.823;-4.799;-4.707,13.08,6.92,-1.4,7.39,True,-6.49,results/A0A517I632_NNBT_poses.pdbqt
A0A4Y3PPL7,NNBT,-6.152,0.022,-6.178,-6.178;-5.987;-5.837;-5.707;-5.707;-5.705;-5.636;-5.601;-3.730,14.89,-1.36,1.22,6.85,True,-6.178,results/A0A4Y3PPL7_NNBT_poses.pdbqt
A0A3M8B3C2,NNBT,-5.946,0.059,-5.991,-5.991;-5.939;-5.692;-5.678;-5.466;-5.012;-4.960;-4.920;-4.215,3.6,8.7,11.62,8.09,True,-5.939,results/A0A3M8B3C2_NNBT_poses.pdbqt
A0A3M8BW15,NNBT,-5.912,0.001,-5.913,-5.913;-5.839;-5.518;-5.256;-4.981;-4.526;-4.410;-4.241;-3.590,13.15,7.32,-1.34,7.59,True,-5.913,results/A0A3M8BW15_NNBT_poses.pdbqt
A0A3M8AA20,NNBT,-5.863,0.021,-5.877,-5.877;-5.797;-5.585;-5.325;-5.279;-5.256;-5.235;-5.199,14.62,-1.12,0.99,7.69,True,-5.877,results/A0A3M8AA20_NNBT_poses.pdbqt
A0A7Y6BVJ0,NNBT,-6.001,0.009,-5.991,-5.991;-5.861;-5.696;-5.631;-5.609;-5.501;-5.313;-5.294;-4.934,6.24,11.72,-8.1,8.21,True,-5.861,results/A0A7Y6BVJ0_NNBT_poses.pdbqt
A0A4Y8IST5,NNBT,-5.715,0.076,-5.781,-5.781;-5.641;-5.160;-4.849;-4.106;-4.041;-3.640;-3.604;-3.496,-1.14,12.37,-8.35,13.77,False,-5.781,results/A0A4Y8IST5_NNBT_poses.pdbqt
V6MD32,NNBT,-5.687,0.011,-5.699,-5.699;-5.644;-5.067;-5.010;-5.002;-4.993;-4.959;-4.137;-3.876,14.15,-2.88,2.19,10.57,False,-5.699,results/V6MD32_NNBT_poses.pdbqt
A0A0K9YQ19,NNBT,-5.685,0.006,-5.685,-5.685;-5.616;-5.593;-5.476;-5.431;-5.204;-5.129;-5.100;-4.938,11.3,9.37,-2.03,11.22,False,-5.685,results/A0A0K9YQ19_NNBT_poses.pdbqt
Q9SU40,NNBT,-5.656,0.122,-5.679,-5.679;-5.528;-5.293;-4.345;-4.166;-4.164;-3.719;-3.630;-3.253,5.21,-1.29,8.3,11.15,False,-5.679,results/Q9SU40_NNBT_poses.pdbqt
A0A5B0EE99,NNBT,-5.707,0.093,-5.675,-5.675;-5.633;-5.436;-5.364;-5.263;-5.260;-5.118;-4.901;-4.815,8.39,11.16,-7.0,13.12,False,-5.675,results/A0A5B0EE99_NNBT_poses.pdbqt
A0A2Z7A4W8,NNBT,-5.646,0.002,-5.644,-5.644;-5.633;-5.631;-5.495;-5.201;-5.066;-5.003;-4.999;-4.990,-3.8,20.19,-3.31,7.75,True,-5.644,results/A0A2Z7A4W8_NNBT_poses.pdbqt
A0AAJ2KTQ9,NNBT,-5.673,0.008,-5.665,-5.665;-5.543;-5.049;-5.023;-4.953;-4.762;-4.698;-4.639,8.9,10.98,-3.48,8.17,True,-5.543,results/A0AAJ2KTQ9_NNBT_poses.pdbqt
